time,body_id,mass,x,y,z,vx,vy,vz
150000.0,3,3.358963612509865e+24,-720774622.8406466,480679841.3046992,-868980742.9791183,133.83494166374334,-327.2438428601807,-207.23905736488135
150000.0,4,7.418048871488694e+24,794792935.7883538,69181892.04728627,-831166603.0704422,-340.04586681249634,490.58665126494486,-327.1197358634447
150000.0,5,3.685693586328256e+24,-256618098.26338205,425204892.5888687,-651088709.1167529,77.33110720620992,261.3663874298482,-291.3946222296878
150000.0,6,6.226357146557448e+24,70275223.8526202,-561261458.0713754,91426167.0055611,297.0512553672178,271.14902041626544,-630.4937982697875
150000.0,7,8.465520410768719e+24,193522879.63401398,873456860.6769285,165167446.464889,-254.60676322001385,-66.68231986926779,-607.3476308325694
150000.0,8,6.293250332675079e+24,543569715.0834612,-132707683.33037707,-102510372.49391593,-567.3646326369951,374.34112435577856,-581.8957629504916
150000.0,9,9.6333450285479e+24,-699347485.1451979,715263306.5844653,98836431.40766078,-195.32366778533654,-623.0327757959893,-615.6789193870657
160000.0,0,1.554118165150887e+23,-770145150.0041183,-163104507.76020625,-472394639.1599577,1396.6253021698772,-90.27230751720366,1074.9538480265321
160000.0,1,2.6523384296295672e+23,180552335.89769188,487759909.967837,-174457819.90169305,-278.61381721068426,-221.54873802690574,-340.23904488131353
160000.0,2,9.406705410554697e+24,-703037728.9324647,-146055294.25860345,-351978497.8014973,-269.73457518800564,-162.35297326984872,-494.3280901070838
160000.0,3,3.358963612509865e+24,-719363482.8665822,477365973.285427,-870951952.511966,148.40314714456096,-335.5226969471691,-186.97665703477747
160000.0,4,7.418048871488694e+24,791336265.1238486,74087884.07066098,-834378972.643919,-351.30257890167707,490.6049917097919,-315.3456128140778
160000.0,5,3.685693586328256e+24,-255884167.72148928,427784487.8936406,-653934399.453021,69.45510008776515,254.53734172704367,-277.74070801804413
160000.0,6,6.226357146557448e+24,73250487.40744744,-558463526.8259517,85076596.00845031,298.00086984694275,288.46733717128706,-639.4292218424691
160000.0,7,8.465520410768719e+24,190930705.75761974,872730473.8915788,159056968.61120328,-263.8238140054084,-78.61446946064198,-614.756402718254
160000.0,8,6.293250332675079e+24,537825475.219833,-128947421.22044258,-108354700.37379141,-581.5002063293917,377.6958323627937,-586.9609631287586
160000.0,9,9.6333450285479e+24,-701241509.1277449,708985778.1249914,92638387.75962338,-183.46957623975098,-632.4744819201794,-623.9452604802382
170000.0,0,1.554118165150887e+23,-755271092.4388334,-163714220.16549525,-460030859.4393308,1585.7546223534955,-27.345764750825886,1420.9330477622154
170000.0,1,2.6523384296295672e+23,177722152.07819343,485554195.9806281,-177818885.84504458,-287.41509508110374,-219.5968123538086,-332.0034110459943
170000.0,2,9.406705410554697e+24,-705690010.0535764,-147621891.46745044,-356936632.71883833,-260.8423248422778,-151.01804521557733,-497.67404533816966
170000.0,3,3.358963612509865e+24,-717806353.5125163,473969519.302721,-872719746.1585227,163.03389549343922,-343.76156459912016,-166.5536483477149
170000.0,4,7.418048871488694e+24,787766598.3350922,78993859.16674182,-837473342.5937655,-362.6459249752883,490.5831130008071,-303.519144198069
170000.0,5,3.685693586328256e+24,-255229005.29964054,430295328.2476201,-656643456.2837814,61.576353029763105,247.61399461091463,-264.06649431218375
170000.0,6,6.226357146557448e+24,76235228.99826734,-555491506.1402524,78637402.91795069,298.94676538605984,305.96906603511695,-648.4190936744025
170000.0,7,8.465520410768719e+24,188246479.21900818,871884185.1676985,152872147.84109795,-273.0178749126785,-90.66363303321252,-622.2168657594698
170000.0,8,6.293250332675079e+24,531939375.9410899,-125154072.99864146,-114249417.74563433,-595.7373041057699,380.95770414513225,-591.9734244142677
170000.0,9,9.6333450285479e+24,-703016643.4846147,702613779.264944,86357218.06080441,-171.54481649995986,-641.9276089407773,-632.3049847232173
180000.0,0,1.554118165150887e+23,-738238626.1553586,-163517805.49026677,-443292455.5569831,1833.5157565900943,77.9040584637223,1981.9138246229197
